,Age,Annual_Income,Total_Purchases,Average_Ticket,Total_Spending,Loyalty_Points,Website_Visits,Days_Since_Last_Purchase,Online_Purchases
Age,1.0,0.2736,0.1163,0.2874,0.2552,0.2548,-0.0165,-0.1087,-0.0448
Annual_Income,0.2736,1.0,0.4913,0.9453,0.883,0.88,0.2254,-0.4277,0.1924
Total_Purchases,0.1163,0.4913,1.0,0.5176,0.7189,0.7144,0.7783,-0.87,0.7772
Average_Ticket,0.2874,0.9453,0.5176,1.0,0.9279,0.9241,0.247,-0.4502,0.2143
Total_Spending,0.2552,0.883,0.7189,0.9279,1.0,0.9946,0.4444,-0.626,0.4177
Loyalty_Points,0.2548,0.88,0.7144,0.9241,0.9946,1.0,0.4378,-0.6227,0.411
Website_Visits,-0.0165,0.2254,0.7783,0.247,0.4444,0.4378,1.0,-0.6731,0.9296
Days_Since_Last_Purchase,-0.1087,-0.4277,-0.87,-0.4502,-0.626,-0.6227,-0.6731,1.0,-0.6755
Online_Purchases,-0.0448,0.1924,0.7772,0.2143,0.4177,0.411,0.9296,-0.6755,1.0
